,Country,CountryCode,Kind,etag,CategoryID,ChannelID,VideoCategory,Assignable
6,Great Britain,GB,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/M-3iD9dwK7YJCafRf_DkLN8CouA""",19,UCBR8-60-B28hp2BmDPdntcQ,Travel & Events,True
7,Great Britain,GB,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/WmA0qYEfjWsAoyJFSw2zinhn2wM""",20,UCBR8-60-B28hp2BmDPdntcQ,Gaming,True
8,Great Britain,GB,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/EapFaGYG7K0StIXVf8aba249tdM""",21,UCBR8-60-B28hp2BmDPdntcQ,Videoblogging,False
9,Great Britain,GB,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/xId8RX7vRN8rqkbYZbNIytUQDRo""",22,UCBR8-60-B28hp2BmDPdntcQ,People & Blogs,True
10,Great Britain,GB,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/G9LHzQmx44rX2S5yaga_Aqtwz8M""",23,UCBR8-60-B28hp2BmDPdntcQ,Comedy,True
11,Great Britain,GB,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/UVB9oxX2Bvqa_w_y3vXSLVK5E_s""",24,UCBR8-60-B28hp2BmDPdntcQ,Entertainment,True
12,Great Britain,GB,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/QiLK0ZIrFoORdk_g2l_XR_ECjDc""",25,UCBR8-60-B28hp2BmDPdntcQ,News & Politics,True
13,Great Britain,GB,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/r6Ck6Z0_L0rG37VJQR200SGNA_w""",26,UCBR8-60-B28hp2BmDPdntcQ,Howto & Style,True
14,Great Britain,GB,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/EoYkczo9I3RCf96RveKTOgOPkUM""",27,UCBR8-60-B28hp2BmDPdntcQ,Education,True
15,Great Britain,GB,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/w5HjcTD82G_XA3xBctS30zS-JpQ""",28,UCBR8-60-B28hp2BmDPdntcQ,Science & Technology,True
